Keys,Russian,English,Turkish,Spanish,German
ads,РЕКЛАМА ЧЕРЕЗ:,AD IN:,REKLAM İÇİNDE:,ANUNCIO EN:,ANZEIGE IN:
again,ЗАНОВО?,RESTART,YENİDEN BAŞLAT,REINICIAR,NEUSTART
back,РУБАШКА,BACK,GERİ,VOLVER,ZURÜCK
background,ФОН,BACKGROUND,ARKA PLAN,ANTECEDENTES,HINTERGRUND
best_time,ЛУЧШЕЕ ВРЕМЯ,BEST TIME,EN İYİ ZAMAN,MEJOR TIEMPO,BESTE ZEIT
buy,КУПИТЬ ЗА,BUY FOR,SATIN AL,PAGAR,KAUFEN FÜR
cancel,ОТМЕНА,CANCEL,İPTAL,CANCELAR,ABBRECHEN
cards,КАРТЫ,CARDS,KARTLAR,CARTAS,KARTEN
coins,МОНЕТЫ,COINS,JET,MONEDAS,MÜNZEN
congratulations,ПОЗДРАВЛЯЕМ!,CONGRATULATIONS!,TEBRİKLER!,¡FELICITACIONES!,HERZLICHEN GLÜCKWUNSCH!
daily_bonus,ДНЕВНАЯ НАГРАДА,DAILY REWARD,GÜNLÜK ÖDÜL,RECOMPENSA DIARIA,TÄGLICHE BELOHNUNG
day,ДЕНЬ,DAY,GÜN,DÍA,TAG
deck,КОЛОДА,DECK,DESTE,BAMBA,DECK
difficulty,Сложность,Difficulty,ZORLUK,DIFICULTAD,SCHWIERIGKEITSGRAD
easy,Лёгкий,Easy,KOLAY,FÁCIL,EINFACH
get,ПОЛУЧИТЬ,GET,AL,OBTENER,WERDEN
hard,Мастер ,Hard,ZOR,DIFÍCIL,SCHWER
lay_out,РАЗЛОЖИТЬ,LAY OUT,YERLEŞTİRMEK,DISPONER,AUSLEGEN
middle,Средний,Normal,NORMAL,NORMAL,NORMAL
new_game,НОВАЯ ИГРА,NEW GAME,YENİ OYUN,NUEVO JUEGO,NEUES SPIEL
no,НЕТ,NO,HAYIR,NO,NEIN
